Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,11/20/09,06/09/09,"Canagra Food Inc. dba Conagra Snack Foods Division, Garner, NC 27529",An explosion and collapse of the building structure resulted in 4 worker deaths with the fourth succumbing to his injuries 11/19/2009.
FY 2010,11/20/09,10/20/09,"Gerald B. Denny, Oxford, NC 27565",The worker was repairing a skylight on the roof. He fell through the skylight area to the concrete pad. The worker died on the scene.
FY 2010,11/20/09,10/30/09,"KLN Enterprises, Inc., Perham, MN 56573",Worker fell through open catwalk.
FY 2010,11/20/09,11/02/09,"C.N. Construction, Inc., Killeen, TX 76549","Worker was christmas treeing three roof opening frames and the frame at the bottom of the rigging came off the hook, striking the worker."
FY 2010,11/20/09,11/09/09,"Keen Energy Services, Nacogdoches, TX 75961",Worker contracted H1N1 flu.
FY 2010,11/20/09,11/11/09,"Opportunity VIllage, ARC, Las Vegas, NV 89146",The worker was working inside a rental car office. Worker was found unconscious by a customer near the office counter. He was transported to the hospital where he later died.
FY 2010,11/20/09,11/16/09,"Big Lade Planting, Belle Glade, FL 33430","Worker was driving a tractor pulling wagons in sugarcane harvesting, went off the road into a canal, drowning."
FY 2010,11/20/09,11/16/09,"Bon Harbor Shell Station, Owensboro, KY",Worker was fatally shot during the commission of a robbery.
FY 2010,11/20/09,11/16/09,"John COllier Logging, Inc., Filmore, IN 46128","Working at a private residence curring down trees, the worker was struck b a limb in the head and died."
FY 2010,11/20/09,11/17/09,"Associated Marine Equipment, Manchac, LA 70421","Worker was in the process of removing a boom from a crane and knocked out 2 bottom pins from the heel section. The heel section came down, striking the worker."
FY 2010,11/20/09,11/17/09,"Bristol Tennessee Essential Services, Bristol, TN 37620",The worker was climbing a utility pole to perform routine maintenance work and came into contact with a high voltage line.
FY 2010,11/20/09,11/17/09,"Cactus Drilling, LLC, Elk City, OK 73644",Workers (2) were struck by a load being raised by a crane when rigging spreader came loose.
FY 2010,11/20/09,11/17/09,"Enterprise Holdings, Weymouth, MA 02188",Worker was crushed by an automobile that was rolling backwards.
FY 2010,11/20/09,11/17/09,"JJ Concrete, Inc., North Sioux CIty, SD 57049","Worker was setting foundation forms. An excavated dirt wall caved in, burying and crushing him."
FY 2010,11/20/09,11/17/09,"Moreau's Material Yard, Des Allemandes, LA 70030","Worker was riding a lead system when the crawler crane tipped over causing him to be thrown from a platform, striking the boom of the crane."
FY 2010,11/20/09,11/17/09,"Spring Kingdom, Inc., Houston, TX 77055-5402",Worker was trapped and crushed by a concrete pallet.
FY 2010,11/20/09,11/17/09,"Valcourt Building Services, Montclair, NJ 07044",Worker was caulking an AC unit and fell off the balcony.
FY 2010,11/20/09,11/18/09,"Brown Transport, Inc., West Alexandria, OH 45381","Worker was dumping waste from papermill site that is being torn down, when dump trailer made contact with power lines. The worker exited the truck cab and was electrocuted."
FY 2010,11/20/09,11/18/09,"Elevating Boats LLC, Houma, LA 70363",Worker was in a nearby workshop when the boom of a 200-ton crane collapsed into the workshop fatally injuring the worker.
FY 2010,11/20/09,11/18/09,"Pro Medica Health Systems, Toledo, OH 43606",Worker was struck by a van that was backing in.
FY 2010,11/20/09,11/18/09,"Topp Industries, Rochester, IN 46875",The worker was removing a starter part. It slipped off the mandrill and fell onto the worker killing him.
FY 2010,11/20/09,11/18/09,"Trico Excavating, Appleton, WI",Worker was unloading pipe and was crushed between the pipe and front end loader.
FY 2010,11/20/09,11/19/09,"Dal-Tile Corporation, Cincinnati, OH 45242","Worker was transferring granite slabs and a slab fell, crushing the worker."
FY 2010,11/20/09,11/19/09,"West Selden Construction, Incorporated, Boston, MA 02122","Worker was in the process of climbing the frames of a scaffold to get to his work station and collapsed, falling 25-feet from the platform to the ground below."
FY 2010,11/20/09,11/20/09,"Brubaker Transfer, Inc., Morton, IL 61550","Worker was standing along side his semi-trailer, as it was being unloaded by a powered industrial truck. A bundle of steel weighing 2700-pounds fell, striking him."
FY 2010,11/20/09,11/20/09,"Keen Energy Services, Nocogdoches, TX 75961",Worker was part of a land based oil rig & natural gas well drilling rig crew and contracted the H1N1 flu.
FY 2010,11/20/09,11/20/09,"Pittsburg Glass Works, Chillicothe, OH 45601","Worker was operating an order picker and struck a rack, which pushed a pallet of glass onto the order picker."
FY 2010,11/20/09,11/21/09,"Nomac Drilling, Inc., Miami, TX",Worker was working the drilling board. A drill pipe came loose striking the worker on the head.
FY 2010,11/20/09,11/21/09,"VT Halter Marine, Escatawpa, MS",Workers were using a thinner product to prepare the inner section of the bottom hull for painting. There was a fire/explosion killing two workers and hospitalizing two other workers.
FY 2010,11/27/09,11/02/09,"NYSDOT Alder Creek Sub Residency, Alder Creek, NY 13301","A New York State Department of Transportation Highway Maintenance worker, while working as a flagman in a work zone was struck b a motor vehicle."
FY 2010,11/27/09,11/02/09,"Pfeiffer & Sons, La Porte, TX 77571","Worker was in the process of installing a wireless point at a facility. He was using a 6-ft ladder to access the ceiling, fell backwards off the ladder, striking his head on the concrete floor."
FY 2010,11/27/09,11/02/09,"Siu's Electric Coro., Honolulu, HI 96817",Worker was crushed between a forklift and a parked flatbed truck.
FY 2010,11/27/09,11/10/09,"Purchase College, Purchase, NY 10577","The worker, a custodial supervisor, was found dead."
FY 2010,11/27/09,11/17/09,"Bradens Towing & Collision, Wheeling, WV 26003",Worker was performing detail work on a vehicle and ingested a wheel cleaning solution.
FY 2010,11/27/09,11/19/09,"AGR Contracting, Ducor, CA 93218",Worker fell off orchard picker ladder as he was ascending with an empty orange pickers bag.
FY 2010,11/27/09,11/19/09,"Bo Bo Enterprises, Cleveland, VA",Worker was struck by a tree.
FY 2010,11/27/09,11/19/09,"Pilgrims PRide, Timberville, VA",Worker was struck by a delivery vehicle.
FY 2010,11/27/09,11/19/09,"WA St Transportation Dept, Olumpia, WA 98501",Worker was struck in the head b dead top of tree.
FY 2010,11/27/09,11/21/09,"Village Pantry, Indianapolis, IN 46885",Worker was working alone when two men entered the establishment. They came behind the counter and shot the worker and stole 21 cartons of cigarettes and no money.
FY 2010,11/27/09,11/22/09,"Old Dominion Tree Services, Poquoson, VA",Worker (14 years old) was pulled into a wood chipper.
FY 2010,11/27/09,11/23/09,"Nicor Gas, Naperville, IL 60564","Worker was operating a Vermeer ditch witch backfilling a hole. The stringer was struck by a passing vehicle and the ditch witch tipped over, landing on top of the worker."
FY 2010,11/27/09,11/23/09,"Resource Management-Chicago Ridge, L.L.C.",Worker was walking back to his location and was struck by a forklift.
FY 2010,11/27/09,11/23/09,"Thompson Grassvalley, Nevada City, CA 95959",Worker collapsed walking into the office. Possible Heat Attack - Unknown.
FY 2010,11/27/09,11/24/09,"Bertils Gravel Y Excavation LLC, Crookston, MN 56716",A trailer attached to a truck ran over the worker who was loading gravel from the ground.
FY 2010,11/27/09,11/24/09,"Palacios Marine and Industrial, Corpus Christi, TX 78469",Worker was working on the 2nd floor of a building and fell through an open door way to the ground.
FY 2010,11/27/09,11/24/09,"Yellow Checker Star Cab Company, Las Vegas, NV 89118",The worker was in his cab at the back stand at Harrah's Casino Hotel. Hotel security was notified when someone found the worker to be in an unresponsive state. He was transported to the hospital where he was pronounced dead.
FY 2010,11/27/09,11/27/09,"Ross Construction, Spicewood, TX 78669","Worker was changing the hydraulic fluid in a dump truck with the dump bed raised. The dump bed fell, pinning him."
FY 2010,12/04/09,06/14/09,"ARB, Inc., Bay Point, CA* 94565",Worker was struck by train while in company vehicle.
FY 2010,12/04/09,07/08/09,"Safeway, Pleasanton, CA* 94588",Worker was found underneath the desk and pronounced dead at the scene.
FY 2010,12/04/09,08/11/09,"CA, Transportation, Richmond, CA* 94801","While taking tolls, a person drove up and shot the worker in the face."
FY 2010,12/04/09,08/25/09,"Speed Link, Orinda, CA* 94563",The worker was found in his vehicle by the Orinda P.D. and was unresponsive.
FY 2010,12/04/09,09/04/09,"Accent Care, Walnut Creek, CA*94595",Worker was found face down on site and taken to the hospital. Employer was informed that worker died on 9/7/2009.
FY 2010,12/04/09,10/15/09,"SF American Taxicab, Inc., Orinda, CA*94563",Worker's vehicle was clipped by another vehicle causing the worker's vehicle to hit an on-coming big rig. The impact between the worker's vehicle and the big rig caused the fatality.
FY 2010,12/04/09,11/19/09,"Beyond Green, Inc., Paddock Lake, WI 53168","Worker working in a tree, fell hitting their head."
FY 2010,12/04/09,11/21/09,"A-Noohi Meat Packaging Co., Vernon, CA*",The worker was unloading a truck when it started rolling and pinned the worker between a wall and the tire.
FY 2010,12/04/09,11/23/09,"Z-Medical Inc., Irvine, CA* 92606","Worker got into an accident, got out of the car, walked onto the street, and was hit by another car."
FY 2010,12/04/09,11/24/09,"Johnson Controls Inc., Pulaksi, TN* 38478","Worker was adjusting the temperature leaning through a guardrail. He was struck by a roller cam, and his head was caught between the guardrail and roller cam."
FY 2010,12/04/09,11/24/09,"Roseburg Forest Products Co., Riddle, OR* 97469","Worker was on a platform by a sander. The platform gave way, and the worker fell to the concrete floor."
FY 2010,12/04/09,11/27/09,"Dix Hills FD Headquarters, Dix Hills, NY* 11746",Worker suffered a stroke in his home on 11/21/2009. Worker responded to alarm earlier that same day. Worker died at the hospital on 11/27/2009.
FY 2010,12/04/09,11/28/09,"Eastern Illinois University, Charleston, IL*","While riding home from a football game, the worker was killed in an automobile accident."
FY 2010,12/04/09,11/30/09,"AAA Planta Regional de Caguas, Caguas, PR* 00725",Worker fell in underground pit tank where there were recirculating pumps.
FY 2010,12/04/09,11/30/09,"King FIsher Marine Service, Inc., Port Lavaca, TX 77979","Worker was painting a boat on the water and was unaccounted for. Worker drowned, and the body was found underwater."
FY 2010,12/04/09,11/30/09,"Naperville School District 203, Naperville, IL*",Worker gained access to the roof of the construction area. The worker fell from a significant height and died from those injuries. It is unclear whether the worker jumped or fell from the roof.
FY 2010,12/04/09,12/01/09,"Main Street Feeds Inc., Monett, MO 65708",Worker fell from atop of a feed truck.
FY 2010,12/04/09,12/01/09,"Rafael Torres dba Rafael Torres, Oak Park, IL 60302","Worker was removing a radiator from a house, and fell 7 feet off an unguarded wood deck."
FY 2010,12/04/09,12/01/09,"Salem Golf Culb, Salem, OH 44467","Worker was cutting down a tree using a chain saw. The tree fell onto another tree, causing a branch to fall on the worker."
FY 2010,12/04/09,12/01/09,"United Industrial Services, Chelmsford, MA 01824",Worker was preparing to remove waste containers from the highway and was struck by a motor vehicle.
FY 2010,12/04/09,12/01/09,"Viking Electric, L.L.C., Phoenix, AZ* 85034",Worker was changing the ballast on a light fixture and was electrocuted.
